,整租 | 马五村 2室1厅1卫,1300,2室1厅1卫    40㎡,横岗  马五村距3号线横岗地铁站步行1142m,来自个人房源,https://sz.58.com/zufang/41364512395421x.shtml?houseId=1372615902568452&shangquan=henggang&shangquanId=1856&dataSource=0
0,整租 | 塘西花园 1室0厅1卫,1380,1室0厅1卫    20㎡,固戍  塘西花园距1号线固戍地铁站步行1000m,来自个人房源,https://sz.58.com/zufang/39029343321499x.shtml?houseId=1073714261860353&shangquan=gss&shangquanId=117722&dataSource=0
1,整租 | 横岗深竹小区 1室0厅1卫,1200,1室0厅1卫    25㎡,横岗  横岗深竹小区距3号线六约地铁站步行669m,来自个人房源,https://sz.58.com/zufang/41315924010882x.shtml?houseId=1366396589384716&shangquan=henggang&shangquanId=1856&dataSource=0
2,整租 | 东埔福苑 1室0厅1卫,2200,1室0厅1卫    27㎡,沙头角  东埔福苑,来自个人房源,https://sz.58.com/zufang/41324945454483x.shtml?houseId=1367551334210563&shangquan=shatoujiao&shangquanId=1865&dataSource=0
3,整租 | 臣田综合楼 3室2厅1卫,3000,3室2厅1卫    110㎡,流塘  臣田综合楼,来自个人房源,https://sz.58.com/zufang/39833231675139x.shtml?houseId=1176611970882560&shangquan=ltszs&shangquanId=118585&dataSource=0
4,整租 | 鸿景湾名苑 2室2厅1卫,9000,2室2厅1卫    82㎡,上沙  鸿景湾名苑距9号线下沙地铁站步行1183m,来自个人房源,https://sz.58.com/zufang/41297988813220x.shtml?houseId=1364100884029449&shangquan=shangsha&shangquanId=6089&dataSource=0
5,单间 | 宝安九区商住楼 4室1厅1卫 主卧 南,1100,主卧(4室)    20㎡,宝安中心区  宝安九区商住楼,来自个人房源,https://sz.58.com/hezu/41430391242141x.shtml?houseId=1381048395014159&shangquan=baoanzhongxinquba&shangquanId=6150&dataSource=0
6,整租 | 西丽新屋村 1室0厅1卫,2250,1室0厅1卫    22㎡,桃源村  西丽新屋村距7号线珠光地铁站步行890m,来自个人房源,https://sz.58.com/zufang/41430890937374x.shtml?houseId=1381112356019200&shangquan=taoyuancun&shangquanId=6111&dataSource=0
7,整租 | 上围园新村 1室0厅1卫,1050,1室0厅1卫    30㎡,西乡  上围园新村距1号线固戍地铁站步行1024m,来自个人房源,https://sz.58.com/zufang/41331740233376x.shtml?houseId=1368421065793550&shangquan=xixiangsz&shangquanId=6151&dataSource=0
8,整租 | 西头新村 1室0厅1卫,1200,1室0厅1卫    25㎡,民治  西头新村距4号线龙胜地铁站步行898m,来自个人房源,https://short.58.com/zd_p/adaac90b-f0cc-4f78-8656-b2997efcc750/?target=fh-16-xgk_hvimob_57576071165242q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
9,整租 | 裕安花园 2室1厅1卫,3000,2室1厅1卫    52㎡,新安  裕安花园距5号线灵芝地铁站步行374m,来自个人房源,https://short.58.com/zd_p/1e5d1f2f-2041-451a-9320-96a922068ea9/?target=fh-16-xgk_hvimob_57546033778154q-feykn&end=end&shangquan=xinanlu&shangquanId=1842&dataSource=1
10,单间 | 华业玫瑰四季一期 5室1厅1卫 其他 南,3000,其他(5室)    15㎡,民治  华业玫瑰四季一期,来自个人房源,https://short.58.com/zd_p/05c79038-5e0d-43dc-a6c3-5822fb219835/?target=fh-16-xgk_ephv_57849093916375q-feykn&end=end&shangquan=minzhi&shangquanId=6145&dataSource=1
